       Value   Percentile   TotalCount 1/(1-Percentile)
      137.00     0.000000       459734         1.00
      138.00     0.000000       459861         1.00
      139.00     0.000000       459992         1.00
      140.00     0.000000       460106         1.00
      141.00     0.000000       460195         1.00
      142.00     0.000000       460277         1.00
      143.00     0.000000       460366         1.00
      144.00     0.000000       460434         1.00
      145.00     0.000000       460501         1.00
      146.00     0.000000       460556         1.00
      147.00     0.000000       460600         1.00
      148.00     0.000000       460675         1.00
      149.00     0.000000       460722         1.00
      150.00     0.000000       460790         1.00
      151.00     0.000000       460843         1.00
      152.00     0.000000       460909         1.00
      153.00     0.000000       460961         1.00
      154.00     0.000000       461016         1.00
      155.00     0.000000       461067         1.00
      156.00     0.000000       461111         1.00
      157.00     0.000000       461148         1.00
      158.00     0.000000       461191         1.00
      159.00     0.000000       461224         1.00
      160.00     0.000000       461256         1.00
      161.00     0.000000       461281         1.00
      162.00     0.000000       461311         1.00
      163.00     0.000000       461344         1.00
      164.00     0.000000       461365         1.00
      165.00     0.000000       461402         1.00
      166.00     0.000000       461434         1.00
      167.00     0.000000       461471         1.00
      168.00     0.000000       461504         1.00
      169.00     0.000000       461531         1.00
      170.00     0.000000       461565         1.00
      171.00     0.000000       461604         1.00
      172.00     0.000000       461631         1.00
      173.00     0.000000       461658         1.00
      174.00     0.000000       461686         1.00
      175.00     0.000000       461718         1.00
      176.00     0.000000       461744         1.00
      177.00     0.000000       461775         1.00
      178.00     0.000000       461804         1.00
      179.00     0.000000       461826         1.00
      180.00     0.000000       461844         1.00
      181.00     0.000000       461875         1.00
      182.00     0.000000       461892         1.00
      183.00     0.000000       461913         1.00
      184.00     0.000000       461934         1.00
      185.00     0.000000       461963         1.00
      186.00     0.000000       461981         1.00
      187.00     0.000000       462007         1.00
      188.00     0.000000       462029         1.00
      189.00     0.000000       462053         1.00
      190.00     0.000000       462083         1.00
      191.00     0.000000       462099         1.00
      192.00     0.000000       462122         1.00
      193.00     0.000000       462148         1.00
      194.00     0.000000       462167         1.00
      195.00     0.000000       462196         1.00
      196.00     0.000000       462218         1.00
      197.00     0.000000       462238         1.00
      198.00     0.000000       462260         1.00
      199.00     0.000000       462282         1.00
      200.00     0.000000       462304         1.00
      201.00     0.000000       462324         1.00
      202.00     0.000000       462353         1.00
      203.00     0.000000       462375         1.00
      204.00     0.000000       462392         1.00
      205.00     0.000000       462420         1.00
      206.00     0.000000       462434         1.00
      207.00     0.000000       462465         1.00
      208.00     0.000000       462486         1.00
      209.00     0.000000       462514         1.00
      210.00     0.000000       462542         1.00
      211.00     0.000000       462564         1.00
      212.00     0.000000       462586         1.00
      213.00     0.000000       462610         1.00
      214.00     0.000000       462631         1.00
      215.00     0.000000       462651         1.00
      216.00     0.000000       462673         1.00
      217.00     0.000000       462695         1.00
      218.00     0.000000       462717         1.00
      219.00     0.000000       462739         1.00
      220.00     0.000000       462766         1.00
      221.00     0.000000       462786         1.00
      222.00     0.000000       462804         1.00
      223.00     0.000000       462831         1.00
      224.00     0.000000       462849         1.00
      225.00     0.000000       462876         1.00
      226.00     0.000000       462900         1.00
      227.00     0.000000       462923         1.00
      228.00     0.000000       462945         1.00
      229.00     0.000000       462972         1.00
      230.00     0.000000       462996         1.00
      231.00     0.000000       463021         1.00
      232.00     0.000000       463043         1.00
      233.00     0.000000       463071         1.00
      234.00     0.000000       463101         1.00
      235.00     0.000000       463127         1.00
      236.00     0.000000       463160         1.00
      237.00     0.000000       463191         1.00
      238.00     0.000000       463211         1.00
      239.00     0.000000       463239         1.00
      240.00     0.000000       463263         1.00
      241.00     0.000000       463287         1.00
      242.00     0.000000       463308         1.00
      243.00     0.000000       463333         1.00
      244.00     0.000000       463354         1.00
      245.00     0.000000       463371         1.00
      246.00     0.000000       463397         1.00
      247.00     0.000000       463413         1.00
      248.00     0.000000       463438         1.00
      249.00     0.000000       463450         1.00
      250.00     0.000000       463471         1.00
      251.00     0.000000       463490         1.00
      252.00     0.000000       463508         1.00
      253.00     0.000000       463526         1.00
      254.00     0.000000       463547         1.00
      255.00     0.000000       463562         1.00
      257.00     0.000000       463598         1.00
      259.00     0.000000       463625         1.00
      261.00     0.000000       463668         1.00
      263.00     0.000000       463711         1.00
      265.00     0.000000       463750         1.00
      267.00     0.000000       463794         1.00
      269.00     0.000000       463839         1.00
      271.00     0.000000       463879         1.00
      273.00     0.000000       463924         1.00
      275.00     0.000000       463969         1.00
      277.00     0.000000       464008         1.00
      279.00     0.000000       464048         1.00
      281.00     0.000000       464077         1.00
      283.00     0.000000       464110         1.00
      285.00     0.000000       464159         1.00
      287.00     0.000000       464195         1.00
      289.00     0.000000       464242         1.00
      291.00     0.000000       464287         1.00
      293.00     0.000000       464328         1.00
      295.00     0.000000       464367         1.00
      297.00     0.000000       464400         1.00
      299.00     0.000000       464432         1.00
      301.00     0.000000       464463         1.00
      303.00     0.000000       464497         1.00
      305.00     0.000000       464528         1.00
      307.00     0.000000       464563         1.00
      309.00     0.000000       464598         1.00
      311.00     0.000000       464632         1.00
      313.00     0.000000       464681         1.00
      315.00     0.000000       464719         1.00
      317.00     0.000000       464753         1.00
      319.00     0.000000       464793         1.00
      321.00     0.000000       464830         1.00
      323.00     0.000000       464869         1.00
      325.00     0.000000       464908         1.00
      327.00     0.000000       464947         1.00
      329.00     0.000000       464982         1.00
      331.00     0.000000       465022         1.00
      333.00     0.000000       465053         1.00
      335.00     0.000000       465089         1.00
      337.00     0.000000       465122         1.00
      339.00     0.000000       465163         1.00
      341.00     0.000000       465206         1.00
      343.00     0.000000       465246         1.00
      345.00     0.000000       465278         1.00
      347.00     0.000000       465306         1.00
      349.00     0.000000       465340         1.00
      351.00     0.000000       465380         1.00
      353.00     0.000000       465413         1.00
      355.00     0.000000       465449         1.00
      357.00     0.000000       465491         1.00
      359.00     0.000000       465528         1.00
      361.00     0.000000       465575         1.00
      363.00     0.000000       465622         1.00
      365.00     0.000000       465661         1.00
      367.00     0.000000       465698         1.00
      369.00     0.000000       465737         1.00
      371.00     0.000000       465765         1.00
      373.00     0.000000       465794         1.00
